Real,Previsto
124.60006060826134,137.24849906495365
124.27762307400796,136.98306036493886
124.9224797090861,136.22229807325857
125.61509735784203,135.185380466497
120.0860825961428,134.04146103832682
134.4161010083238,132.57789773119657
137.79563051995316,131.78552553330155
136.09988411653583,131.59103012075866
138.2016267863567,131.72272828181667
136.70890616628424,132.20893159976185
139.01365618602128,132.82225533519886
139.69434740642922,133.62851335524465
135.77748344913977,134.5465974341496
138.36881798437176,135.274892959922
139.43163418105877,136.0005122663788
135.89691363347706,136.72278629869106
131.25157900867327,137.20367239141706
127.60933627167353,137.26090592379842
135.80133630583563,136.84928461257005
136.13571870186564,136.60173432587544
135.53858621360783,136.4399756487328
134.12951649282886,136.31821940767622
129.68722608479854,136.16103847409977
127.33471505138381,135.75433530275404
129.37671497889303,135.0951989182431
128.79158265269788,134.41730552291483
131.57399810949804,133.71234475152596
132.74431806217444,133.18174905879278
130.04546133752442,132.84620045539123
122.03259736315391,132.51224819333584
119.656196606186,131.77972705811771
117.10062292256914,130.72847759265278
117.017064190419,129.3780784540395
120.77866337804133,127.89573466048387
116.93346859141147,126.59801478629379
116.4916377396781,125.26489369519186
114.30633633770708,123.97949851521844
109.54158996199465,122.67721263526619
113.80474431023337,121.18642936062315
114.18688771994111,119.89415582749643
108.38323330452349,118.79759843853026
109.92372415498802,117.58396819230984
108.32351821235487,116.46638839635125
113.81667073858131,115.37440875095126
114.44960094531152,114.65640727930077
115.14223702749608,114.23990304160179
118.43815250668925,114.09429558278498
118.34259361247648,114.3207765112711
119.95472598345758,114.77581595955417
121.3638325710939,115.4581110313884
120.49211572940372,116.33277697323865
120.56376646663465,117.24474565625133
123.66858259083088,118.14622074247382
127.53770396787128,119.16039048505263
129.23341350443124,120.3927073152663
128.4333289665433,121.78738145062744
130.94110476962513,123.1754941535437
133.29357893618248,124.6308879490789
129.79469297393058,126.17102868960865
131.3351561742521,127.48748209900805
132.69650174821072,128.68645182801265
139.13306793692988,129.80276394113753
143.52761576471113,131.1462729887935
140.21975542374145,132.7793771371289
143.7067702579314,134.3250346455461
140.44665249721078,135.9468000752022
139.19281067924155,137.33082802232093
139.6353235678356,138.42954516722602
143.03194086783975,139.30049022520325
142.25452944721297,140.14754885200819
144.80201085564477,140.86522166514624
142.8644731683947,141.60306002558355
141.4771548934435,142.19041973853746
136.60945781862262,142.5805608684168
137.1237320450196,142.55188541320604
137.7097676092195,142.2941819260377
134.49254443700832,141.91377143568752
135.93969762141452,141.28494206114556
135.32977233366142,140.61910339054157
132.81814394398808,139.91609109461933
133.53573888858855,139.09106432595217
139.65923172481746,138.2811206354454
143.00801427742925,137.85265557545426
140.34095521723083,137.8540875875442
141.85985130601128,137.99143163233384
139.13301263664385,138.32301285797803
136.63336597560448,138.61058905636673
138.98948996103803,138.73361298025702
141.52500807426458,138.8791852256618
142.0033739816171,139.15213612024672
145.42391787203178,139.50902405134912
144.40731428101438,140.09349626451512
147.2776940594163,140.72724377893974
149.5261483880025,141.530896006494
147.79198671924195,142.5141953245111
149.10754365639025,143.46030927940592
150.68625622119703,144.4175624103118
148.3301691026208,145.40779877050227
147.5767027058332,146.2256302653077
151.3082001044414,146.85613814582393
153.2098479060756,147.53304556561488
156.2476216502079,148.28170618135482
157.76655460584567,149.1970788275321
157.12070256561944,150.24285847632564
154.88419309880982,151.27808583930891
155.96061316585357,152.13167068514667
152.8151328980166,152.8892050807226
151.3440899900572,153.3514515406714
150.5068989602614,153.52549969861866
157.03699636603994,153.45143415527855
156.61841006785636,153.5766530485198
156.64231822483822,153.7566522731031
158.12536129486026,153.97495195219017
159.51273487009746,154.2919196118346
158.34062687484032,154.72563147022083
156.3911443258137,155.14091497630216
156.76193274346224,155.42207059589418
154.8961748274438,155.62964192211075
154.88419309880982,155.66457362686197
160.44557696124937,155.59111844933068
161.96447305002982,155.75430913856326
161.8568586934684,156.1118309110825
160.60106293206042,156.57120160904742
159.2974508566887,157.00980813170827
157.312041555189,157.34776298493307
166.61688611144197,157.4954480350607
166.53316147843378,158.03704205015674
164.46410127764054,158.73803544378825
166.60494124966536,159.40321679736735
166.83215169142204,160.14630195619975
165.7063853358352,160.89545555970835
165.10755697213997,161.54295978043956
165.10755697213997,162.06001004733844
165.85007391229902,162.46152510930915
168.67654526361474,162.8009237124279
168.8082705448733,163.22982307116763
167.65855916544726,163.68030825149253
164.49674687981084,164.05756127256245
164.83208781413157,164.19632559163801
166.209415170745,164.20720653596072
169.13161131713142,164.19943610970222
171.37123603338586,164.3297139964743
171.3113458236449,164.64928744861027
174.71268208138792,165.06217644267235
175.74264990818932,165.71105398647342
174.1018719890588,166.51557481152486
173.65878766417597,167.28402536483554
171.99402785434896,167.9751472652897
175.2875469878153,168.48224387438313
175.75465007025193,169.03203087668226
179.14394929907505,169.5744348002554
178.56906595921902,170.2696531943111
179.3355647900746,170.9690032953804
181.80273174980172,171.6834599502181
180.4972947649919,172.49998854877776
180.60509345583995,173.24459962213223
179.34758338556585,173.91719926784936
182.9884067485582,174.42861538882062
182.60515733313042,175.01583424812634
180.91648936632149,175.56404838468734
184.25789854746623,175.96468311135686
185.6831343851867,176.44505274070616
186.09031039102499,176.99962876704376
191.3360217875321,177.5849461020989
189.52755496781248,178.4516420750224
188.17420950189563,179.31042676803918
188.7490928417517,180.05977991421605
187.3957473758348,180.73524358411305
184.91663555433107,181.2362952241383
184.28188043816274,181.46044032962527
186.3059077727211,181.46721304254243
187.22807690867444,181.44059170303444
187.40771067104004,181.4222220397496
191.35998524479993,181.4124561868084
191.04857090088973,181.6313544939003
192.68934882002026,181.93888495911597
190.32999898456987,182.3888771516722
188.90478158027807,182.76202194133657
189.8748591973385,183.00467756375656
190.9168271862025,183.20991306697397
191.97074003684307,183.42370542931894
190.43779767541793,183.6796482458849
193.56360947486655,183.85332079410364
194.30616328188293,184.1531395220809
193.30012204549206,184.5317893418287
189.67129884456236,184.88075425522038
187.98259401089607,184.99554997849555
176.98819668325814,184.88294922457135
173.22762976764116,184.01225066047846
174.3653409850046,182.56470945582987
172.43714904608902,180.89141506654414
172.17368005014322,179.02882511189455
172.24562572223283,177.14284171384134
174.2484177469661,175.35126547348773
171.83785984667716,173.8366544566925
170.78250918860047,172.44471522966705
167.70042148195137,171.1816336151278
168.288079187874,169.91426770212274
169.9070503608908,168.77478516387055
171.57404061558665,167.869565718167
176.23919117620812,167.2558898486095
170.55469044369778,167.12743132145988
173.22901227479124,166.9853217282398
175.1238581412471,167.0492458089102
179.83695404983294,167.3323851173809
184.0703752776309,168.0015455865214
184.33419450872137,169.09955846318553
186.24104053723983,170.41556583603233
186.52887852588418,171.91948371336912
178.38585611169188,173.46914381295574
171.96978789565105,174.5020001395278
172.7133186743868,174.83429737121696
174.12847142662613,174.75942191939976
170.45872601405432,174.4720217880713
167.9522774178366,173.83233494481465
169.78715934083684,172.88023470987173
168.91166364626977,171.8898692338371
172.4614996053589,170.8595247973244
173.78070636138344,170.06735214209766
169.4873396235585,169.52558205994137
167.61645721437048,168.9377293592188
168.64780754832196,168.28707940701133
170.1948699161065,167.7003770110823
165.2539183957606,167.26456408577724
163.41903647276038,166.66606519681227
163.73085635210126,165.93089131788656
164.3544592439257,165.1715610382962
167.40060176467307,164.4667176449475
165.78157529137027,164.0034382582453
167.292637172967,163.6171823414952
168.7917173259298,163.40843723487706
171.88586049492756,163.40563189971726
173.68477879859728,163.70804468238202
172.96519304370074,164.28171811585344
174.6561283222358,164.95940023070943
175.7474978999289,165.7756236463647
173.5168871302929,166.68889522562313
173.36094032376513,167.48447184401448
171.47811305280052,168.1663795683162
169.9070503608908,168.62511642486425
169.45137600422805,168.83146701946316
166.35723283523032,168.83834537261646
166.50116104626684,168.53508746806256
167.0288363753052,168.06942530714514
164.22256806180917,167.54273830314924
159.1736519497572,166.84040679985992
160.7686780989348,165.79787852277877
163.2511263710273,164.70937326736748
163.82680234831605,163.76842394623964
167.66443942919224,162.991862570354
171.98180649114232,162.5843729661392
170.87845518481527,162.66570421016513
173.97254305352698,162.98702659509945
177.07866795115865,163.64542349795738
178.36185578756667,164.6487944608416
177.78621667713531,165.88262546777332
182.86578758106143,167.16627171494838
180.94441601075286,168.704827851936
184.1146708067191,170.1785091461279
184.7991408800039,171.72395537407283
186.8405878046531,173.2399279761339
186.81656904709922,174.760349205917
188.93005381098135,176.1774894981645
187.95735864705014,177.56365372561413
188.7619225081043,178.77383305745388
187.15279478599598,179.84935630162363
186.9366444014399,180.67038047912138
187.66915198983244,181.27190772152244
186.43228735966608,181.72880174284
187.1287944618708,181.9808593462767
188.6778660733801,182.1281570488718
186.50434363232762,182.2731541418798
191.2956894456074,182.26922197753447
189.97478681414546,182.4551605309498
192.31642212464632,182.6363570115427
194.04564363452394,182.95178701886107
191.00750122181836,183.41469079583476
192.8448163574027,183.76448909331157
196.74752344147544,184.15149622951867
196.92767333984375,184.74029969236653
196.27920375274672,185.40460071064444
194.2617755856514,186.04692855980466
195.52269584022895,186.53005657309768
192.98891046929722,186.96645638860355
192.80874213750025,187.1863641468408
191.51187669702088,187.2600658182564
190.85140694786125,187.1545664357618
190.9714823022019,186.90630014302224
191.487857939467,186.5855529104847
190.22693768488938,186.2597466844163
